"Event Name","Event Description"
"login_screen_opened","When the user lands on login/signup screen and the T&C/privacy policy text is set up. Triggered from SliceLoginFragmentV2.setUpTncText() during renderLandingPage() when the screen transitions to LandingPage state. Implementation: SliceLoginViewModelV2.trackLoginScreenOpened() -> EventTrackingUtils.trackLoginScreenOpenedEvent(). Properties: hyperlink_count (number of T&C/privacy links), hyperlinks (array of link text like 'Terms of Use', 'Privacy Policy'). Event Type: PAGE_OPEN. This tracks successful loading and rendering of the login screen with all its interactive elements."
"login_screen_hyperlink_clicked","When user clicks on T&C or Privacy Policy links in login screen. Triggered from ClickableSpan.onClick() within setUpTncText() when user taps hyperlinks. Implementation: SliceLoginViewModelV2.trackLoginScreenHyperlinkClicked() -> EventTrackingUtils.trackLoginScreenHyperlinkClickedEvent(). Properties: hyperlink_clicked (specific link text that was clicked like 'Terms of Use' or 'Privacy Policy'). Event Type: CTA. Only fires when internet is available and navigates to WebView."
"login_screen_cta_clicked","When user clicks the 'Get Started' button on login screen. Triggered from getStartedButton.setSafeOnClickListener() -> onGetStartedClicked() -> cacheTnCAcceptance() flow. Implementation: SliceLoginViewModelV2.trackLoginScreenCtaClicked() -> EventTrackingUtils.trackLoginScreenCtaClickedEvent(). Properties: sms_permission_given (boolean), phone_permission_given (boolean), permission_screen_to_be_shown (boolean). Event Type: CTA. This captures user's permission state and whether they'll see permission screen next."
"permissions_pdp_page_opened","When user lands on permissions PDP page during phone verification flow. Triggered from PhoneVerificationPermissionFragment.onAttach() after getPermissionsData() call. Implementation: PhoneVerificationPermissionViewModel.trackAppPermissionsPageOpenedEvent() -> PhoneVerificationPermissionsEventTracking.trackAppPermissionsPageOpenedEventV2(). Properties: flow (login_sign_up), number_of_permissions (count), deny_enabled (true), plus individual permission mappings. Event Type: SCREEN. This tracks the permissions request screen during onboarding."
"permissions_pdp_page_deny_clicked","When the user clicks on deny from permissions PDP page. initiation_reason: phone_verification"
"permissions_pdp_page_cta_clicked","When the user clicks on go ahead arrow from permissions PDP page"
"permissions_popup_opened","When the any permission pop up opens up in permissions pdp page (there might be other flows as well for permissions page - please use this event with change in flows and permission type). initiation_reason: phone_verification"
"permissions_popup_cta_clicked","When user clicks on allow/deny from pop-up which is opened post clicking on deny from permissions PDP page. initiation_reason: phone_verification"
"permissions_popup_dismissed","When the user clicks outside of the permissions popup"
